time,chunks,length
318.36,"point: a dog. We  finally get to generative AI. Unlike  discriminative models, generative models  learn about the patterns in the training  data. Then, after they receive some input,  for example, a text prompt from us, they  generate something new based on the  patterns they just learned. Going back to  the animal example, the pictures or data  points are not labeled as cat or dog, so  a generative model will look for  patterns: oh, these data points all have  two ears, four legs, a tail, likes dog food  and barks.",521
345.96,"four legs, a tail, likes dog food  and barks. When asked to generate something  called a dog, the generative model  generates a completely new image based  on the patterns it just learned. There's  a super simple way to determine if  something is generative AI or not: if the  output is a number, a classification  (spam/not spam), or a probability, it is not  generative AI. It is generative AI when  the output is natural language text or  speech, an image, or audio.",469
372.599,"language text or  speech, an image, or audio. Basically,  generative AI generates new samples that  are similar to the data it was trained  on. Moving on to different generative AI  model types, most of us are familiar with  text-to-text models like ChatGPT and  Google Bard. Other common model types  include text-to-image models like Midjourney,  DALL-E, and Stable Diffusion. These can  not only generate images but edit images as  well. Text-to-video models, surprise  surprise, can generate and edit video  footage.",520
404.639," surprise, can generate and edit video  footage. Examples include Google's Imagen Video, Cog Video, and the very  creatively named Make-A-Video. Text-to-3D  models are used to create game assets,  and a little-known example would be OpenAI's  Shape-E model. And finally, text-to-task  models are trained to perform a  specific task. For example, if you type  ""Gmail, summarize my unread emails,"" Google  Bard will look through your inbox and  summarize your unread emails.",472
426.68,"your inbox and  summarize your unread emails. Moving over  to large language models, don't forget  that LLMs are also a subset of deep  learning, and although there is some  overlap, LLMs and generative AI are not the same  thing. An important distinction is that  large language models are generally  pre-trained with a very large set of  data and then fine-tuned for specific  purposes. What does that mean?",409
448.72,"for specific  purposes. What does that mean? Imagine you  have a pet dog; it can be pre-trained  with basic commands like ""sit,"" ""come,"" ""down,""  and ""stay."" It's a good boy, and a  generalist. But if that same good boy  goes on to become a police dog, a guide  dog, or a hunting dog, they need to receive  specific training, so they're fine-tuned  for that specialist role. A similar idea  applies to large language models.",424
471.36,"A similar idea  applies to large language models. They're  first pre-trained to solve common  language problems like text  classification, question answering,  document summarization, and text  generation. Then, using smaller, industry-  specific data sets, these LLMs are  fine-tuned to solve specific problems in  retail, finance, healthcare, entertainment,  and other fields.",378
493.52,"healthcare, entertainment,  and other fields. In the real world, this  might mean a hospital uses a pre-trained  large language model from one of the big  tech companies and fine-tunes that model  with its own first-party medical data to  improve diagnostic accuracy from X-rays  and other medical tests.",304
508.28,"accuracy from X-rays  and other medical tests. This is a  win-win scenario because large companies  can spend billions developing general-  purpose large language models, then sell  those LLMs to smaller institutions like  retail companies, banks, hospitals, who  don't have the resources to develop  their own large language models, but they  have the domain-specific data sets to  fine-tune those models. Pro tip: if you do  end up taking the full course, I'll link  it down below; it's completely free.",505
532.56,"I'll link  it down below; it's completely free. When  you're taking notes, you can right-click  on the video player and copy video URL  at the current time, so you can quickly  navigate back to that specific part of  the video. There are five modules total,  and you get a badge after completing  each module. The content overall is a bit  more on the theoretical side, so you  definitely want to check out this video  on how to master prompting next. See you  on the next video; in the  meantime, have a great one.",515
